province,2015,2014,2013,2012,2011,2010,2009,2008,2007
北京市,4263.91,3861.29,3514.52,3124.75,2854.63,2251.59,1913.97,1775.58,1435.67
天津市,1578.07,1486.88,1310.66,1105.56,1004.51,776.65,614.27,546.26,438.36
河北省,1934.29,1866.06,1724.87,1560.59,1348.51,1074.04,839.33,748.89,618.3
山西省,1056.6,1134.34,1136.89,1045.22,872.88,692.71,581.91,566.49,430.5
内蒙古自治区,1320.75,1251.07,1215.2,1119.87,985.69,752.81,576.83,464.45,347.91
辽宁省,1650.45,2330.57,2521.62,2317.19,1974.85,1516.65,1183.98,1017.1,815.67
吉林省,867.12,884.4,856.41,760.57,624.19,439.31,361.11,311.07,237.39
黑龙江省,880.34,977.4,912.82,837.8,741.85,556.97,444.31,420.21,334.97
上海市,4858.16,4219.05,3797.16,3426.79,3172.72,2707.8,2368.45,2223.43,1975.48
江苏省,6610.12,6006.05,5419.49,4782.59,4124.62,3312.61,2654.75,2278.71,1894.77
浙江省,4168.22,3853.96,3545.66,3227.77,2952.01,2464.96,1983.81,1792.09,1535.35
安徽省,1799.89,1692.52,1520.22,1305.09,1108.31,866.55,629.32,527.93,401.88
福建省,1938.71,1893.73,1723.28,1440.34,1254.31,966.09,778.14,704.45,594.02
江西省,1517.03,1381.13,1178.74,978.08,777.09,585.11,430.02,357.96,281.86
山东省,4203.12,3965.76,3533.49,3050.2,2603.13,2149.9,1720.35,1533.53,1308.35
河南省,2101.17,1951.46,1764.71,1469.57,1263.1,1016.55,821.5,742.27,625.02
湖北省,2086.5,1873.11,1604.85,1324.44,1067.11,777.96,616.06,537.21,433.98
湖南省,1527.52,1438.52,1299.15,1110.74,915.4,730.84,568.27,486.31,410.66
广东省,7377.07,6510.47,5767.94,5073.88,4548.66,3803.47,3130.61,2864.79,2415.47
广西壮族自治区,1031.65,978.07,875.74,762.46,644.8,533.87,417.68,346.49,282.68
海南省,514.31,480.55,411.63,350.8,295.69,237.1,151.24,120.54,87.99
重庆市,1450.93,1281.83,1112.62,970.17,881.07,621.56,435.62,360.29,294.46
四川省,2353.51,2312.46,2103.51,1827.04,1537.42,1180.58,886.67,732.07,628.95
贵州省,1126.03,1026.7,839.67,681.66,518.14,395.57,311.71,260.8,211.85
云南省,1210.54,1233.23,1215.66,1063.9,881.95,702.16,548.11,482.39,378.64
西藏自治区,92,85.86,71.54,70.07,45.83,25.28,18.51,15.19,11.67
陕西省,1290.33,1335.68,1256.24,1131.55,933.84,710.57,532.8,455.6,355.5
甘肃省,529.79,490.26,417.73,347.78,284.04,220.29,176.04,162.8,142.05
青海省,205.81,199.39,175.05,146.69,119.85,88.94,70.17,55.9,43.29
宁夏回族自治区,256.31,250.33,237.49,207.02,177.13,126.79,90.74,77.74,58.79
新疆维吾尔自治区,861.73,887.79,826.34,698.93,593.41,416.23,301.13,286.55,220.65
