province,2006,2007,2008,2009,2010,2011,2012,2013
全国,2860,2859,2859,2858,2856,2853,2852,2853
北京,18,18,18,18,16,16,16,16
天津,18,18,18,16,16,16,16,16
河北省,172,172,172,172,172,172,172,172
山西省,119,119,119,119,119,119,119,119
内蒙古自治区,101,101,101,101,101,101,101,102
辽宁省,100,100,100,100,100,100,100,100
吉林省,60,60,60,60,60,60,60,60
黑龙江省,128,128,128,128,128,128,128,128
上海,19,19,19,18,18,17,17,17
江苏省,106,106,106,106,105,104,102,100
浙江省,90,90,90,90,90,90,90,90
安徽省,105,105,105,105,105,105,105,105
福建省,85,85,85,85,85,85,85,85
江西省,99,99,99,99,100,100,100,100
山东省,140,140,140,140,140,140,138,137
河南省,159,159,159,159,159,159,159,159
湖北省,102,102,102,103,103,103,103,103
湖南省,122,122,122,122,122,122,122,122
广东省,121,121,121,121,121,121,121,121
广西壮族自治区,109,109,109,109,109,109,109,110
海南省,20,20,20,20,20,20,20,20
重庆市,40,40,40,40,40,38,38,38
四川省,181,181,181,181,181,181,181,183
贵州省,88,88,88,88,88,88,88,88
云南省,129,129,129,129,129,129,129,129
西藏自治区,73,73,73,73,73,73,74,74
陕西省,107,107,107,107,107,107,107,107
甘肃省,86,86,86,86,86,86,86,86
青海省,43,43,43,43,43,43,43,43
宁夏回族自治区,21,21,21,22,22,22,22,22
新疆维吾尔自治区,99,98,98,98,98,99,101,101
