province,2006,2007,2008,2009,2010,2011
全国,98153086.5,121480663,145007374,165027065,195618471,238692936
北京,3374329.1,4077284,4690166,5289432,6134448,7373843
天津,1428991.8,1657108,2060843,2381672,2920970,4136097
河北省,3554401.1,4403700,5584914,6145261,7192734,8447882
山西省,2198470.4,2649876,3328404,3809096,4508195,5494903
内蒙古自治区,1480998.9,2019987,2625527,3187733,4143731,5040005
辽宁省,3282282.5,4122455,4792311,5349184,6242615,7809413
吉林省,1724212.5,2133095,2714195,3006988,3445611,4293877
黑龙江省,2230540.2,2736590,3386551,3486163,4048565,4838173
上海,3707275.4,4318320,4823026,4937339,5582736,7106255
江苏省,6845887.5,8513327,9964272,11054890,13146233,15882132
浙江省,6315050.7,7058575,7972834,8911507,10625688,12069078
安徽省,2775700,3451326,4383732,4873316,5990868,8172010
福建省,2771265.5,3322233,3898541,4479126,5341118,6344839
江西省,2213618.4,2850048,3333171,3776516,4494597,6307866
山东省,5471049.1,6802414,7749148,8397429,10395900,13727939
河南省,4179474.8,5493997,6561523,7633496,9111164,11821418
湖北省,2904962.2,3689008,4519593,5194495,5869164,6844038
湖南省,3338525.3,4196365,5066050,5660684,6497608,7987607
广东省,8654359.1,10734751,11661554,12843085,15327348,18846365
广西壮族自治区,2134365.2,2758915,3476223,3873253,4941416,5938482
海南省,558645.4,757981,928981,1175474,1422673,1732237
重庆市,1681572.2,2309734,2662580,3309977,4068437,5039550
四川省,3654193.8,5009787,6578338,8088479,8951781,10244130
贵州省,1549737.3,2070113,2709138,3094113,3669550,4510531
云南省,2311082.7,2757505,3422932,4408081,5336317,6582935
西藏自治区,276921.3,420562,494122,597448,662293,826102
陕西省,2288722.7,2855270,3806168,4637457,5143635,6838342
甘肃省,1321480.1,1672565,2310200,2761110,3106736,3608174
青海省,373987.9,458238,608034,785820,1062206,1552462
宁夏回族自治区,398717.5,636974,702612,813071,994671,1313862
新疆维吾尔自治区,1532702.9,1916673,2501661,2959264,3655998,4605867
