province,2015,2014,2013,2012,2011,2010,2009,2008
北京市,5218,5429,5469,5534,5613,6196,6410,6750
天津市,4185,4283,4346,4358,4329,4412,4432,4534
河北省,2141,2098,2108,2063,2006,1951,1871,1811
山西省,2504,2519,2474,2351,2202,2132,2050,1979
内蒙古自治区,2035,2156,2137,2042,1920,1884,1794,1650
辽宁省,2876,2933,2903,2811,2712,2671,2659,2621
吉林省,3169,3168,3033,2889,2807,2716,2695,2659
黑龙江省,2518,2555,2529,2441,2409,2447,2420,2352
上海市,3330,3348,3421,3481,3556,4300,4393,4371
江苏省,2896,2858,2814,2786,2824,2819,2786,2679
浙江省,2414,2408,2363,2288,2218,2285,2303,2324
安徽省,2309,2245,2203,2101,2007,1841,1742,1658
福建省,2508,2513,2435,2301,2200,2144,2039,1937
江西省,2654,2527,2381,2295,2212,2162,2118,2062
山东省,2516,2421,2304,2238,2191,2202,2153,2071
河南省,2293,2203,2114,2012,1901,1839,1774,1648
湖北省,3038,3121,3144,3078,2991,2906,2829,2724
湖南省,2215,2160,2106,2087,2054,2051,2040,1966
广东省,2434,2356,2199,2082,1978,2037,1952,1821
广西壮族自治区,2178,2052,1939,1834,1688,1530,1436,1352
海南省,2290,2317,2253,2218,2079,2036,2001,1800
重庆市,3071,3017,2894,2734,2522,2413,2317,2192
四川省,2312,2244,2140,2037,1904,1790,1732,1637
贵州省,1819,1690,1535,1392,1254,1109,1043,969
云南省,1819,1731,1662,1566,1520,1391,1298,1174
西藏自治区,1766,1676,1528,1508,1446,1373,1317,1279
陕西省,3628,3652,3612,3525,3378,3208,3045,2880
甘肃省,2194,2219,2193,2145,2041,1882,1806,1687
青海省,1275,1220,1162,1133,1082,1119,1080,1033
宁夏回族自治区,2244,2255,2195,2107,1912,1868,1721,1610
新疆维吾尔自治区,1759,1749,1681,1596,1521,1467,1430,1414
